Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Youri Tielemans,1,13,24.0,29,2631,6.0,4.0,4.0,3.0,0.0,4.4,2.8,4.2,3
Çağlar Söyüncü,0,13,25.0,28,2497,1.0,1.0,0.0,5.0,0.0,1.0,1.0,0.1,3
James Maddison,1,13,24.0,28,2459,12.0,12.0,8.0,3.0,0.0,7.5,7.5,5.1,3
Harvey Barnes,2,13,23.0,24,2101,6.0,6.0,10.0,2.0,0.0,5.6,5.6,4.6,3
Daniel Amartey,0,13,26.0,23,2123,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,3
Kiernan Dewsbury-Hall,1,13,22.0,23,2105,1.0,1.0,2.0,4.0,0.0,1.2,1.2,2.7,3
Timothy Castagne,0,13,25.0,22,2127,1.0,1.0,0.0,1.0,0.0,0.7,0.7,1.5,3
Luke Thomas,0,13,20.0,21,1912,0.0,0.0,1.0,2.0,0.0,0.1,0.1,1.3,3
Jamie Vardy,2,13,34.0,20,1806,15.0,15.0,2.0,2.0,0.0,10.8,10.8,1.4,3
Wilfred Ndidi,1,13,24.0,18,1618,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.0,3
Ademola Lookman,2,13,23.0,16,1453,6.0,6.0,0.0,2.0,0.0,4.5,4.5,1.9,3
Jonny Evans,0,13,33.0,16,1348,1.0,1.0,1.0,3.0,0.0,0.6,0.6,0.8,3
Kelechi Iheanacho,2,13,24.0,13,1264,4.0,4.0,5.0,1.0,0.0,3.6,3.6,2.5,3
Patson Daka,2,13,22.0,13,1159,5.0,5.0,3.0,2.0,0.0,4.2,4.2,2.0,3
Ricardo Pereira,0,13,27.0,13,991,1.0,1.0,3.0,3.0,0.0,0.7,0.7,1.3,3
Boubakary Soumaré,1,13,22.0,12,1102,0.0,0.0,1.0,0.0,0.0,0.4,0.4,0.4,3
Nampalys Mendy,1,13,29.0,12,1032,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3
Marc Albrighton,2,13,31.0,11,1132,1.0,1.0,2.0,3.0,0.0,0.5,0.5,2.0,3
James Justin,0,13,23.0,11,998,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,3
Wesley Fofana,0,13,20.0,7,630,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,3
Jannik Vestergaard,0,13,28.0,6,567,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,3
Ayoze Pérez,1,13,28.0,6,445,2.0,2.0,3.0,0.0,1.0,1.6,1.6,1.6,3
Ryan Bertrand,0,13,31.0,4,337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Hamza Choudhury,0,13,23.0,4,285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Lewis Brunt,1,13,20.0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Kasey McAteer,2,13,19.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Virgil van Dijk,0,14,30.0,34,3060,3.0,3.0,1.0,3.0,0.0,2.0,2.0,1.5,3
Trent Alexander-Arnold,0,14,22.0,32,2853,2.0,2.0,12.0,2.0,0.0,2.4,2.4,12.0,3
Sadio Mané,2,14,29.0,32,2819,16.0,16.0,2.0,5.0,0.0,17.2,17.2,5.2,3
Joël Matip,0,14,29.0,31,2790,3.0,3.0,3.0,2.0,0.0,3.4,3.4,1.3,3
Mohamed Salah,2,14,29.0,30,2762,23.0,18.0,13.0,1.0,0.0,22.7,17.8,10.0,3
