Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Danny Simpson,3,13,31,3,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicente Iborra,2,13,30,3,229,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
Christian Fuchs,3,13,32,2,207,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
Shinji Okazaki,2,13,32,1,288,0.0,0.0,1.0,0.0,0.0,0.6,0.6,0.1
Adrien Silva,2,13,29,1,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fousseni Diabaté,1,13,22,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Virgil van Dijk,3,14,27,38,3384,4.0,4.0,2.0,1.0,0.0,3.1,3.1,1.4
Mohamed Salah,1,14,26,37,3250,22.0,19.0,8.0,1.0,0.0,20.2,17.9,9.4
Andrew Robertson,3,14,24,36,3216,0.0,0.0,11.0,4.0,0.0,0.7,0.7,7.2
Sadio Mané,1,14,26,35,3077,22.0,22.0,1.0,2.0,0.0,15.1,15.1,4.5
Georginio Wijnaldum,2,14,27,32,2725,3.0,3.0,0.0,3.0,0.0,3.0,3.0,1.8
Roberto Firmino,1,14,26,31,2607,12.0,11.0,6.0,0.0,0.0,13.6,12.8,5.5
Trent Alexander-Arnold,3,14,19,27,2462,1.0,1.0,12.0,3.0,0.0,1.6,1.6,6.3
Fabinho,2,14,24,21,2017,1.0,1.0,2.0,6.0,0.0,1.0,1.0,1.8
Jordan Henderson,2,14,28,21,1987,1.0,1.0,3.0,2.0,1.0,1.5,1.5,1.8
James Milner,2,14,32,19,1789,5.0,2.0,4.0,6.0,1.0,3.4,1.1,5.3
Joël Matip,3,14,26,17,1537,1.0,1.0,0.0,3.0,0.0,0.7,0.7,0.2
Naby Keïta,2,14,23,16,1390,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0
Joe Gomez,3,14,21,12,1063,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4
Xherdan Shaqiri,1,14,26,11,1064,6.0,6.0,3.0,2.0,0.0,3.9,3.9,1.6
Dejan Lovren,3,14,29,11,986,1.0,1.0,0.0,1.0,0.0,0.7,0.7,0.1
Adam Lallana,2,14,30,5,468,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5
Daniel Sturridge,1,14,28,4,509,2.0,2.0,1.0,1.0,0.0,1.2,1.2,0.8
Divock Origi,1,14,23,4,371,3.0,3.0,1.0,0.0,0.0,2.2,2.2,0.2
Alberto Moreno,3,14,26,2,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nathaniel Clyne,3,14,27,1,111,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Alex Oxlade-Chamberlain,2,14,24,0,21,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1
Rafael Camacho,3,14,18,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,3,15,24,34,3057,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.8
Bernardo Silva,2,15,23,31,2854,7.0,7.0,7.0,3.0,0.0,7.4,7.4,7.8
Raheem Sterling,1,15,23,31,2771,17.0,17.0,9.0,3.0,0.0,13.7,13.7,9.6
Sergio Agüero,1,15,30,31,2459,21.0,19.0,8.0,4.0,0.0,18.1,16.5,5.0
Kyle Walker,3,15,28,30,2779,1.0,1.0,1.0,3.0,0.0,0.8,0.8,1.9
David Silva,2,15,32,28,2401,6.0,6.0,8.0,2.0,0.0,7.8,7.8,8.5
Fernandinho,2,15,33,27,2377,1.0,1.0,3.0,5.0,0.0,1.6,1.6,3.0
İlkay Gündoğan,2,15,27,23,2137,6.0,6.0,3.0,3.0,0.0,4.1,4.1,4.3
Leroy Sané,1,15,22,21,1867,10.0,10.0,10.0,1.0,0.0,6.7,6.7,7.4
John Stones,3,15,24,20,1764,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2
Riyad Mahrez,1,15,27,14,1343,7.0,7.0,4.0,0.0,0.0,5.5,4.7,4.6
Nicolás Otamendi,3,15,30,14,1236,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.2
Oleksandr Zinchenko,3,15,21,14,1151,0.0,0.0,3.0,1.0,0.0,0.2,0.2,1.5
Vincent Kompany,3,15,32,13,1224,1.0,1.0,0.0,6.0,0.0,0.3,0.3,0.0
Kevin De Bruyne,2,15,27,11,975,2.0,2.0,2.0,2.0,0.0,1.4,1.4,5.7
Benjamin Mendy,3,15,24,10,900,0.0,0.0,5.0,1.0,0.0,0.2,0.2,1.6
