Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Jorginho,MF,Chelsea,27.0,27,"2,379",4.0,1.0,2.0,10.0,0.0,3.2,0.9,2.8
Kurt Zouma,DF,Chelsea,24.0,25,"2,344",0.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2
Tammy Abraham,FW,Chelsea,21.0,25,"2,215",15.0,15.0,3.0,2.0,0.0,16.4,16.4,2.7
Mateo Kovačić,MF,Chelsea,25.0,23,"2,073",1.0,1.0,3.0,8.0,0.0,0.9,0.9,1.8
Andreas Christensen,DF,Chelsea,23.0,21,"1,751",0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.9
N'Golo Kanté,MF,Chelsea,28.0,20,"1,732",3.0,3.0,0.0,4.0,0.0,1.4,1.4,1.5
Christian Pulisic,FW,Chelsea,20.0,19,"1,722",9.0,9.0,4.0,0.0,0.0,9.0,9.0,3.6
Antonio Rüdiger,DF,Chelsea,26.0,19,"1,710",2.0,2.0,0.0,3.0,0.0,0.9,0.9,0.6
Reece James,DF,Chelsea,19.0,16,"1,515",0.0,0.0,2.0,1.0,0.0,0.8,0.8,2.7
Marcos Alonso,DF,Chelsea,28.0,15,"1,430",4.0,4.0,2.0,4.0,0.0,2.6,2.6,2.6
Fikayo Tomori,DF,Chelsea,21.0,15,"1,291",1.0,1.0,0.0,3.0,0.0,0.4,0.4,0.1
Ross Barkley,MF,Chelsea,25.0,13,"1,103",1.0,1.0,4.0,0.0,0.0,2.7,2.7,2.3
Emerson Palmieri,DF,Chelsea,24.0,13,"1,024",0.0,0.0,0.0,3.0,0.0,1.1,1.1,1.3
Olivier Giroud,FW,Chelsea,32.0,12,993,8.0,8.0,0.0,1.0,0.0,7.3,7.3,0.9
Pedro,"FW,MF",Chelsea,32.0,8,661,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.9
Callum Hudson-Odoi,"FW,MF",Chelsea,18.0,7,863,1.0,1.0,5.0,1.0,0.0,1.9,1.9,2.0
Willy Caballero,GK,Chelsea,37.0,5,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
