Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Jorginho,2,7,27,27,2379,4.0,1.0,2.0,10.0,0.0,3.2,0.9,2.8
Kurt Zouma,3,7,24,25,2344,0.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2
Tammy Abraham,1,7,21,25,2215,15.0,15.0,3.0,2.0,0.0,16.4,16.4,2.7
Mateo Kovačić,2,7,25,23,2073,1.0,1.0,3.0,8.0,0.0,0.9,0.9,1.8
Andreas Christensen,3,7,23,21,1751,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.9
N'Golo Kanté,2,7,28,20,1732,3.0,3.0,0.0,4.0,0.0,1.4,1.4,1.5
Christian Pulisic,1,7,20,19,1722,9.0,9.0,4.0,0.0,0.0,9.0,9.0,3.6
Antonio Rüdiger,3,7,26,19,1710,2.0,2.0,0.0,3.0,0.0,0.9,0.9,0.6
Reece James,3,7,19,16,1515,0.0,0.0,2.0,1.0,0.0,0.8,0.8,2.7
Marcos Alonso,3,7,28,15,1430,4.0,4.0,2.0,4.0,0.0,2.6,2.6,2.6
Fikayo Tomori,3,7,21,15,1291,1.0,1.0,0.0,3.0,0.0,0.4,0.4,0.1
Ross Barkley,2,7,25,13,1103,1.0,1.0,4.0,0.0,0.0,2.7,2.7,2.3
Emerson Palmieri,3,7,24,13,1024,0.0,0.0,0.0,3.0,0.0,1.1,1.1,1.3
Olivier Giroud,1,7,32,12,993,8.0,8.0,0.0,1.0,0.0,7.3,7.3,0.9
Pedro,1,7,32,8,661,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.9
Callum Hudson-Odoi,1,7,18,7,863,1.0,1.0,5.0,1.0,0.0,1.9,1.9,2.0
Ruben Loftus-Cheek,2,7,23,2,208,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.4
Billy Gilmour,2,7,18,2,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Michy Batshuayi,1,7,25,1,239,1.0,1.0,1.0,0.0,0.0,2.4,2.4,0.2
Tariq Lamptey,3,7,18,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Faustino Anjorin,1,7,17,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,1,7,17,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilfried Zaha,1,8,26,37,3280,4.0,4.0,3.0,5.0,0.0,5.2,5.2,4.0
Jordan Ayew,1,8,27,37,3148,9.0,9.0,2.0,6.0,0.0,7.5,7.5,2.5
James McArthur,2,8,31,37,3090,0.0,0.0,3.0,6.0,0.0,2.0,2.0,2.4
Cheikhou Kouyaté,2,8,29,29,2528,1.0,1.0,1.0,4.0,0.0,2.7,2.7,0.9
Patrick van Aanholt,3,8,28,29,2507,3.0,2.0,2.0,0.0,0.0,2.1,1.3,3.7
Luka Milivojević,2,8,28,28,2513,3.0,1.0,1.0,12.0,0.0,2.7,1.2,2.1
Joel Ward,3,8,29,27,2382,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.3
Gary Cahill,3,8,33,25,2167,0.0,0.0,1.0,1.0,0.0,1.6,1.6,0.2
James Tomkins,3,8,30,18,1582,1.0,1.0,1.0,5.0,0.0,1.1,1.1,0.1
Martin Kelly,3,8,29,17,1549,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.8
James McCarthy,2,8,28,16,1680,0.0,0.0,0.0,9.0,0.0,0.5,0.5,1.3
Andros Townsend,1,8,28,14,1294,1.0,1.0,1.0,0.0,0.0,0.4,0.4,1.9
Scott Dann,3,8,32,14,1266,0.0,0.0,1.0,0.0,0.0,0.8,0.8,0.4
Christian Benteke,1,8,28,13,1261,2.0,2.0,1.0,4.0,1.0,5.1,5.1,2.6
Jeffrey Schlupp,1,8,26,11,1036,3.0,3.0,1.0,2.0,0.0,1.7,1.7,0.8
